"","Approved.symbol","NCBI.Gene.ID","keggGene"
"14516","TRIM64",120146,"hsa:120146"
"14517","TMEM45B",120224,"hsa:120224"
"14518","CYP2R1",120227,"hsa:120227"
"14519","DBX1",120237,"hsa:120237"
"14520","COLCA2",120376,"hsa:120376"
"14521","PIH1D2",120379,"hsa:120379"
"14522","NXPE1",120400,"hsa:120400"
"14523","NXPE2",120406,"hsa:120406"
"14524","JAML",120425,"hsa:120425"
"14525","DNAJC24",120526,"hsa:120526"
"14526","ARL14EP",120534,"hsa:120534"
"14527","OR8I2",120586,"hsa:120586"
"14528","OR2D3",120775,"hsa:120775"
"14529","OR2D2",120776,"hsa:120776"
"14530","OR52W1",120787,"hsa:120787"
"14531","OR56A4",120793,"hsa:120793"
"14532","OR56A1",120796,"hsa:120796"
"14533","DEPDC4",120863,"hsa:120863"
"14534","LRRK2",120892,"hsa:120892"
"14535","CCDC38",120935,"hsa:120935"
"14536","TMEM52B",120939,"hsa:120939"
"14537","FAM186A",121006,"hsa:121006"
"14538","C12orf45",121053,"hsa:121053"
"14539","OR2AP1",121129,"hsa:121129"
"14540","OR10P1",121130,"hsa:121130"
"14541","SDR9C7",121214,"hsa:121214"
"14542","LRIG3",121227,"hsa:121227"
"14543","TMEM132D",121256,"hsa:121256"
"14544","SLC15A4",121260,"hsa:121260"
"14545","RHEBL1",121268,"hsa:121268"
"14546","C12orf54",121273,"hsa:121273"
"14547","ZNF641",121274,"hsa:121274"
"14548","OR10AD1",121275,"hsa:121275"
"14549","TPH2",121278,"hsa:121278"
"14550","SP7",121340,"hsa:121340"
"14551","GTSF1",121355,"hsa:121355"
"14552","OR10A7",121364,"hsa:121364"
"14553","KRT74",121391,"hsa:121391"
"14554","NEDD1",121441,"hsa:121441"
"14555","IKBIP",121457,"hsa:121457"
"14556","HIST4H4",121504,"hsa:121504"
"14557","ERP27",121506,"hsa:121506"
"14558","FGD4",121512,"hsa:121512"
"14559","AEBP2",121536,"hsa:121536"
"14560","ASCL4",121549,"hsa:121549"
"14561","BTBD11",121551,"hsa:121551"
"14562","SPIC",121599,"hsa:121599"
"14563","ANO4",121601,"hsa:121601"
"14564","ALKBH2",121642,"hsa:121642"
"14565","FOXN4",121643,"hsa:121643"
"14566","SPPL3",121665,"hsa:121665"
"14567","TEX29",121793,"hsa:121793"
"14568","CSNK1A1L",122011,"hsa:122011"
"14569","RXFP2",122042,"hsa:122042"
"14570","TEX26",122046,"hsa:122046"
"14571","SLAIN1",122060,"hsa:122060"
"14572","PRR20A",122183,"hsa:122183"
"14573","SPACA7",122258,"hsa:122258"
"14574","TDRD9",122402,"hsa:122402"
"14575","ANKRD9",122416,"hsa:122416"
"14576","AK7",122481,"hsa:122481"
"14577","IFI27L1",122509,"hsa:122509"
"14578","C14orf28",122525,"hsa:122525"
"14579","TRAPPC6B",122553,"hsa:122553"
"14580","CLBA1",122616,"hsa:122616"
"14581","PLD4",122618,"hsa:122618"
"14582","ADSSL1",122622,"hsa:122622"
"14583","RNASE11",122651,"hsa:122651"
"14584","TPPP2",122664,"hsa:122664"
"14585","RNASE8",122665,"hsa:122665"
"14586","MRPL52",122704,"hsa:122704"
"14587","PSMB11",122706,"hsa:122706"
"14588","OR4K14",122740,"hsa:122740"
"14589","OR4L1",122742,"hsa:122742"
"14590","OR11H6",122748,"hsa:122748"
"14591","LRR1",122769,"hsa:122769"
"14592","KLHDC1",122773,"hsa:122773"
"14593","FRMD6",122786,"hsa:122786"
"14594","SOCS4",122809,"hsa:122809"
"14595","NAA30",122830,"hsa:122830"
"14596","GPHB5",122876,"hsa:122876"
"14597","NOXRED1",122945,"hsa:122945"
"14598","JDP2",122953,"hsa:122953"
"14599","ISCA2",122961,"hsa:122961"
"14600","ACOT4",122970,"hsa:122970"
"14601","TTC8",123016,"hsa:123016"
"14602","TC2N",123036,"hsa:123036"
"14603","SLC24A4",123041,"hsa:123041"
"14604","SLC25A29",123096,"hsa:123096"
"14605","DEGS2",123099,"hsa:123099"
"14606","KLHL33",123103,"hsa:123103"
"14607","LEO1",123169,"hsa:123169"
"14608","C15orf40",123207,"hsa:123207"
"14609","SENP8",123228,"hsa:123228"
"14610","MTFMT",123263,"hsa:123263"
"14611","SLC51B",123264,"hsa:123264"
"14612","TARSL2",123283,"hsa:123283"
"14613","HIGD2B",123346,"hsa:123346"
"14614","LRRC28",123355,"hsa:123355"
"14615","TMEM266",123591,"hsa:123591"
"14616","NIPA1",123606,"hsa:123606"
"14617","AGBL1",123624,"hsa:123624"
"14618","HYKK",123688,"hsa:123688"
"14619","WHAMM",123720,"hsa:123720"
"14620","FSD2",123722,"hsa:123722"
"14621","PLA2G4E",123745,"hsa:123745"
"14622","C16orf46",123775,"hsa:123775"
"14623","NTAN1",123803,"hsa:123803"
"14624","FOPNL",123811,"hsa:123811"
"14625","DNAAF1",123872,"hsa:123872"
"14626","ACSM2A",123876,"hsa:123876"
"14627","DCUN1D3",123879,"hsa:123879"
"14628","NRN1L",123904,"hsa:123904"
"14629","CMTM3",123920,"hsa:123920"
"14630","C16orf78",123970,"hsa:123970"
"14631","SPATA2L",124044,"hsa:124044"
"14632","SPATA33",124045,"hsa:124045"
"14633","CCDC78",124093,"hsa:124093"
"14634","IQCK",124152,"hsa:124152"
"14635","ZG16B",124220,"hsa:124220"
"14636","PAQR4",124222,"hsa:124222"
"14637","ZC3H18",124245,"hsa:124245"
"14638","GPR139",124274,"hsa:124274"
"14639","CDYL2",124359,"hsa:124359"
"14640","ANKS3",124401,"hsa:124401"
