id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q9UHQ1-2	0.059	-0.322	-0.17	-0.304	0.391	-0.336	-0.56	-0.02	0.38	-0.51	0.012	0.237
Q7Z4N2-2	-0.913	-0.183	0.01	0.319	-0.57	-0.256	-0.163	0.193	-0.097	-0.071	0.22	0.844
Q9BZA4	-0.078	-0.11	0.312	-0.129	-0.313	-0.161	0.386	-0.15	-0.268	-0.086	0.494	-0.114
C9J6D7	-0.083	0.137	0.08	-0.035	-0.038	0.135	-0.149	0.11	-0.106	-0.093	0.056	-0.094
B7Z5M3	0.374	-0.645	0.077	-0.026	-0.459	-0.219	0.511	-0.033	-0.078	-0.371	0.397	0.071
Q6ZNJ1	-1.079	-0.44	-0.034	-0.037	-0.823	-0.129	0.292	0.024	-0.375	-0.406	0.194	-0.019
Q8TEA7	-0.123	0.003	0.374	-0.492	-0.325	0.11	0.394	-0.392	-0.537	-0.078	0.236	-0.355
Q6IAN5	NA	0.066	0.221	0.045	NA	0.164	0.313	-0.101	NA	0.541	0.259	-0.098
Q96JG6	-0.057	-0.231	0.297	-0.333	-0.266	-0.26	0.298	-0.222	-0.633	-0.36	0.593	-0.13
Q5W0A0	-0.008	-0.027	-1.723	2.824	-0.146	-0.23	-1.933	0.879	-0.172	0.028	-0.919	-0.166
Q86YQ0	-0.268	-0.028	-0.579	0.451	-0.522	-0.215	-0.743	-0.073	-0.488	0.198	-0.143	0.497
Q65ZQ3	-0.406	-0.508	-0.132	-0.145	-0.24	-0.592	-0.193	-0.301	0.979	-0.146	-0.451	0.032
O94979-8	-0.156	0.079	0.046	0.286	-0.053	-0.164	-0.03	-0.308	0.048	-0.088	-0.183	-0.045
P05198	0.434	-0.322	0.296	NA	0.248	-0.336	0.041	NA	0.299	-0.27	0.067	NA
Q9H773	-0.076	-0.053	NA	NA	0.26	0.179	0.989	NA	-0.131	0.318	0.489	1.731
P05106	NA	0.043	0.052	NA	NA	0.018	-0.001	NA	NA	-0.045	-0.035	NA
Q5JWU6	-0.203	-0.075	0.337	NA	0.061	-0.233	0.361	NA	0.324	-0.021	0.206	NA
Q9NTI5	-0.49	0.046	0.148	0.153	-0.388	0.079	-0.017	0.314	0.225	0.054	0.129	0.23
Q15020	0.134	-0.153	-0.04	0.025	-0.068	-0.147	0.051	-0.072	-0.201	-0.178	-0.181	-0.172
O75348	-0.055	-0.346	NA	NA	-0.015	-0.241	NA	NA	-0.054	-0.087	NA	NA
Q502W6-6	-0.039	-0.203	0.204	2.524	-0.122	-0.102	0.46	0.396	-0.124	0.601	0.264	-0.351
B7Z1Z1	-0.331	0.29	0.092	-0.3	-0.294	0.375	0.055	-0.605	-0.177	0.455	-0.05	-0.389
Q5RHS7	-0.405	-0.026	-0.042	-0.205	-0.087	-0.058	0.002	-0.054	-0.337	0.039	-0.047	0.235
Q9NPP4	-0.027	-0.144	-1.718	NA	-0.065	0.209	-1.036	-0.056	-0.098	0.172	0.384	0.017
P55209	-0.609	0.154	-0.021	0.486	-0.423	0.262	-0.153	0.928	0.836	-0.032	-0.65	0.802
C9JA41	0.497	0.001	NA	-0.216	0.375	-0.08	NA	0.17	-0.132	-0.002	NA	0.032
Q8IWB4	-3.428	-0.062	0.41	-0.052	-0.081	-0.164	0.283	-0.056	0.177	-0.248	0.58	-0.15
B2RAQ8	0.362	0.038	-1.645	-0.264	-0.108	0.04	-2.155	-0.237	-0.076	0.014	-0.993	-0.235
Q9C0D4	0.163	-0.214	-2.332	-0.187	-0.052	-0.154	-0.932	-0.24	-0.254	0.116	0.4	-0.007
Q7L523	1.209	-1.09	-0.187	-3.487	0.31	-0.618	-2.238	-2.212	1.035	-1.151	-2.24	-1.973
Q9UL58	0.487	-0.303	0.259	0.326	0.158	-0.115	0.061	0.403	0.27	-0.081	0.027	-0.048
Q8WY21-3	NA	-0.08	0.014	-0.114	NA	-0.054	-0.22	0.222	NA	-0.065	0.194	0.101
Q92878-2	-0.025	-0.064	-2.426	-1.254	-0.149	-0.235	-1.372	-0.803	-0.451	-0.135	0.331	-0.874
Q96JH7	-0.574	-0.024	-0.219	-0.588	-0.463	-0.147	0.111	-0.273	-0.476	-0.215	-0.107	-0.29
Q12794	0.814	-0.073	-0.755	-0.108	-0.235	0.013	-0.114	-0.183	-0.752	-0.009	0.071	-0.667
P78423	0.159	-0.125	-0.333	0.35	0.245	-0.148	-0.427	0.345	-0.059	-0.081	-0.138	0.624
B2RCN4	0.591	-0.238	-0.117	0.305	-0.117	-0.124	-0.08	0.499	-0.123	-0.128	-0.392	0.337
Q9Y6B7	-0.167	-0.034	-1.127	-1.592	-0.171	-0.017	-0.03	-2.041	-0.242	-0.022	0.096	-2.819
B7Z8L7	-0.308	-0.154	0.361	-0.243	-0.117	-0.289	0.278	-0.3	-0.107	0.087	0.962	0.21
B7Z8G9	NA	0.051	0.193	-0.223	NA	-0.13	0.32	-0.284	NA	0.064	0.097	0
B7Z3T6	-0.567	-0.219	-0.077	0.937	-0.465	-0.147	0.072	0.748	0.046	-0.23	0.02	-0.393
Q6P1N0	0.034	0.127	0.043	-0.282	0.144	0.085	0.35	-0.072	0.077	0.039	0.135	0.244
Q6P1N0-3	0.034	0.127	0.043	0.645	0.144	0.085	0.35	0.96	0.077	0.039	0.135	0.197
Q6ZMP0	-0.411	0.303	0.104	-0.42	-0.253	0.194	0.037	0.228	-0.073	-0.049	0.221	0.157
Q5W0B1	0.137	0.062	0.13	-0.651	0.066	0.635	0.251	-0.949	0.244	0	0.107	-0.757
P28290	0.012	-0.134	-0.649	-0.004	-0.053	-0.344	-0.758	-0.372	0.002	-0.264	-0.088	-0.305
Q6UX06	0	0.068	0.2	0.062	0.069	0.084	0.135	0.037	-0.009	-0.08	0.072	0.181
Q6N022	0.606	-0.113	0.109	-0.243	-0.227	-0.006	-0.305	-0.492	4.368	-0.198	-0.014	-0.259
Q5H8X8	NA	0.074	0.214	-0.081	NA	0.076	0.308	-0.135	NA	0.028	0.114	-0.046
Q96E52	0.593	-0.26	NA	NA	0.284	-0.139	NA	NA	0.041	-0.073	NA	NA
Q8WXI9	-0.369	-0.035	0.046	-0.135	-0.265	-0.007	0.094	0.016	-0.492	-0.221	-0.136	0.011
A8K4U2	0.322	-0.052	-0.07	-0.424	0.087	-0.176	-0.041	-0.398	-0.13	-0.255	-0.024	-0.004
P17039	0.139	0.008	-0.243	0.413	-0.054	-0.121	-0.182	-0.035	-0.048	-0.149	-0.157	0.166
P53611	0.011	0.151	0.065	0.053	-0.029	0.223	0.085	0.048	-0.31	0.23	0.032	-0.106
P18858	-0.306	0.136	-0.309	-0.272	-0.171	-0.141	-0.433	-0.718	-0.084	-0.114	-0.39	-0.265
P48552	NA	-0.295	-0.303	0.049	NA	-0.335	-0.467	-0.157	NA	-0.219	-0.27	-0.104
Q99665-2	0.54	0.104	0.032	-0.302	-0.031	0.152	-0.008	-0.228	-0.638	-0.137	-0.116	-0.258
C9IZV6	0.294	-0.246	-0.079	-0.007	0.178	-0.296	0.062	0.107	0.836	-0.253	-0.011	0.141
Q5CZ79	0.251	-0.242	0.109	-0.289	0.103	-0.103	0.25	-0.119	0.343	-0.357	0.061	-0.222
P01713	NA	0.138	NA	NA	NA	0.078	NA	NA	NA	0.05	0.974	NA
Q9UFD9	0.084	-0.021	0.171	-0.508	0.053	0.031	0.624	-0.653	-0.06	0.923	0.413	-0.268
Q96P20	-0.346	-0.325	0.067	0.01	-0.192	-0.263	0.307	-0.207	-0.285	0.257	0.069	0.342
Q495U0	0.245	-0.027	-0.413	-0.148	0.018	-0.059	-0.636	-0.081	-0.323	-0.013	-0.425	-0.243
B4DK04	0.548	-0.064	-0.039	NA	-0.336	0.049	0.165	NA	-0.438	0.071	0.045	NA
Q6PIK3	-0.078	-0.081	-0.074	NA	0.009	-0.078	0.085	NA	0.302	0.271	-0.039	NA
Q9NYL9	-0.038	-0.044	0.802	NA	0.096	-0.191	0.091	NA	0.62	-0.231	0.246	NA
P27695	-0.015	0.062	0.123	NA	-0.102	0.156	0.474	NA	0.126	-0.129	0.066	NA
Q6ZMH6	-0.102	-0.195	-0.163	NA	0.26	-0.35	-0.379	NA	0.508	-0.434	-0.299	NA
P24158	-0.275	0.134	-0.361	NA	-0.371	0.123	0.143	NA	-0.986	0.3	-0.31	NA
Q6IAC8	-0.179	-0.131	NA	NA	-0.155	-0.256	NA	NA	-0.329	-0.657	NA	NA
O95969	1.519	1.27	1.128	NA	0.872	0.262	-0.036	NA	0.944	-0.075	0.242	NA
O43345	-0.216	-0.224	0.027	NA	-0.157	-0.295	0.133	NA	-0.141	0.218	0.093	NA
B7Z842	-0.008	-0.223	-0.076	NA	-0.229	0.287	-0.042	NA	-0.149	0.268	-0.093	NA
Q8TAC1	NA	0.287	-0.174	NA	NA	0.6	-0.223	NA	NA	0.319	0.019	NA
Q8TER5	0.284	-0.328	-0.057	NA	0.27	-0.517	0.09	NA	1.549	0.376	-0.219	NA
Q9Y238-3	-1.075	0.604	-0.353	NA	-0.404	-0.466	-0.145	NA	-0.214	0.717	-0.264	NA
Q9H1R3	-0.331	0.103	0.092	NA	-0.294	0.323	0.055	NA	-0.177	0.351	-0.05	NA
Q8N1H4	-1.481	-0.137	0.143	NA	-1.979	-0.097	0.058	NA	4.024	0.003	0.187	NA
Q9NRC6	1.896	0.206	0.614	NA	-1.017	0.129	0.432	NA	-1.732	0.053	0.713	NA
Q8N8S7	-0.161	0.04	0.057	NA	-0.177	-0.007	-0.13	NA	-0.234	0.206	-0.176	NA
O76081	0.331	-0.006	-0.015	NA	0.135	0.427	0.27	NA	-0.174	0.205	0.127	NA
Q8IWN7	0.143	-0.324	-0.059	NA	-0.124	-0.051	0.143	NA	-0.209	0.065	0.173	NA
Q86W26	-0.022	-0.147	-0.011	NA	-0.427	-0.363	0.199	NA	-0.484	-0.155	-0.026	NA
C9JEQ0	1.477	-0.154	-0.105	NA	1.616	-0.235	-1.558	NA	1.325	0.175	-1.471	NA
Q9Y2P5	-0.211	-0.035	-0.3	NA	0.424	0.427	1.323	NA	-0.358	1.847	1.884	NA
Q6GMV2	-0.013	0.121	-0.263	NA	0.387	0.323	0.385	NA	0.57	0.241	0.12	NA
O75420	-0.569	0.218	-0.101	NA	-1.058	0.108	-0.174	NA	-0.676	-0.275	0.004	NA
Q2TAJ3	NA	0.054	-0.42	NA	NA	-0.07	-0.086	NA	NA	0.223	-0.229	NA
P0C881	NA	-0.295	-0.262	NA	NA	-0.402	-0.343	NA	NA	-0.114	-0.452	NA
B4E2S3	-0.432	0.302	-0.325	NA	2.46	0.514	-0.02	NA	3.457	0.394	-0.282	NA
P49917	0.139	-0.116	0.02	NA	0.744	-0.082	-0.022	NA	0.482	0.335	-0.036	NA
B3KNH3	-0.242	-0.267	-0.177	NA	-0.199	-0.341	-0.268	NA	-0.425	0.135	-0.026	NA
Q9Y283	-0.183	0.166	-0.103	NA	0.05	0.096	0.129	NA	-0.46	-0.176	-0.43	NA
Q9Y6D5	NA	-0.082	NA	NA	NA	-0.266	NA	NA	NA	-0.445	NA	NA
Q5JV82	0.337	0.126	-0.142	NA	0.82	-0.193	-0.403	NA	0.647	-0.088	-0.286	NA
Q8TBE7	0.014	0.222	0.068	NA	-0.247	0.089	-0.029	NA	-0.142	0.14	-0.048	NA
B4DXV2	-0.111	-0.082	0.093	NA	-0.076	-0.204	-0.247	NA	-0.065	-0.246	-0.277	NA
Q7RTS9	-0.079	-0.117	0.337	NA	-0.137	-0.331	0.167	NA	-0.009	0.056	0.31	NA
O75445-3	-0.34	-0.624	0.091	NA	0.348	-0.395	0.019	NA	0.219	-0.712	0.323	NA
Q14754	-0.201	0.232	-0.328	NA	-0.079	0.248	-0.249	NA	0.051	0.489	-0.095	NA
D3YTG9	-0.026	0.067	0.002	NA	0.311	0.087	-0.096	NA	0.157	-0.203	0.127	NA
P43628	-0.041	-0.037	NA	0.034	0.223	0.076	NA	0.045	0.066	0.084	NA	0.194
Q8TF72	3.206	0.92	NA	2.184	0.295	-0.456	NA	0.189	-0.413	1.761	NA	-0.064
P78344	0.279	-0.214	NA	0.006	-0.459	-0.328	NA	-0.331	0.067	-0.085	NA	-0.082
Q8TCU4	-0.49	-0.201	NA	0.034	-0.115	-0.194	NA	0.098	-0.228	-0.165	NA	0.213
O43570	0.166	0.078	NA	0.23	0.022	0.074	NA	0.334	-0.211	0.078	NA	-0.009
Q5VXJ0	-0.001	-0.437	NA	-0.032	0.214	-0.637	NA	-0.25	-0.158	-0.375	NA	-0.169
Q9H6R4	-0.077	-0.707	NA	-0.436	-0.084	-0.537	NA	-0.246	1.967	-0.696	NA	-0.285
O60343	-0.234	0.068	NA	-0.171	-0.85	-0.152	NA	-0.258	4.027	-0.213	NA	-0.193
Q9NRZ9-3	-0.369	-0.342	NA	0.048	-0.187	-0.418	NA	-0.08	-0.362	-0.207	NA	-0.099
Q8N7X6	-0.106	0.027	NA	-0.263	0.203	0.019	NA	0.112	0.399	0.331	NA	0.217
D1CS68	0.523	-0.298	NA	-0.046	-0.054	-0.284	NA	-1.22	-0.078	-0.04	NA	-0.508
A8MX54	0.062	0.009	NA	2.316	1.682	0.215	NA	0.568	2.497	0.087	NA	-0.082
B4DHX2	0.098	-0.038	NA	-0.357	0.643	0.151	NA	-0.27	-0.124	0.077	NA	-0.268
Q8IWT0	-0.007	-0.002	NA	0.158	0.261	0.153	NA	0.105	0.606	-0.024	NA	0.105
Q96C24	0.213	0.128	NA	0.265	-0.168	0.193	NA	0.804	0.422	0.007	NA	1.523
P50591	0.065	-0.116	NA	0.076	-0.198	-0.15	NA	-0.113	-0.201	0.072	NA	0.16
A4D1E1	0.206	-0.093	NA	0.248	0.138	-0.051	NA	0.365	0.16	-0.46	NA	0.058
Q15046-2	NA	-0.151	NA	0.405	NA	-0.158	NA	0.01	NA	0.167	NA	-0.003
B3KUF7	0.023	0.843	NA	0.03	-0.228	0.642	NA	0.073	0.015	-0.059	NA	0.072
Q8NAJ6	0.046	-0.162	NA	0.263	-0.233	-0.03	NA	0.233	-0.291	0.031	NA	0.153
Q15369	NA	0.036	NA	NA	NA	0.242	NA	NA	NA	0.271	NA	NA
Q6ZN06	1.329	0.291	NA	NA	0.122	0.556	NA	NA	0.349	0.37	NA	NA
Q13537	-0.211	-0.122	NA	-0.017	-0.173	-0.021	NA	-0.117	-0.182	0.05	NA	-0.239
Q8ND71	0.593	0.021	NA	0.104	0.284	-0.032	NA	0.016	0.041	-0.321	NA	0.038
Q8IWN7-2	-0.057	-0.058	NA	0.038	0.254	0.019	NA	-0.112	-0.043	0.041	NA	-0.616
Q9HCK0	-0.298	-0.42	NA	-0.054	-0.126	-0.114	NA	0.137	0.107	-0.336	NA	0.013
Q6MZP3	NA	-0.039	NA	0.301	NA	0.04	NA	-0.037	NA	-0.062	NA	0.054
Q8IZ73	-0.248	-0.563	NA	-0.488	-0.17	-0.123	NA	-0.43	2.319	0.022	NA	-0.374
Q16557	0.193	-0.348	NA	-0.349	-0.819	-0.464	NA	-0.351	-0.262	-0.249	NA	-0.252
Q9ULQ1	0.111	-0.05	NA	-0.31	0.248	-0.044	NA	0.019	0.251	0.215	NA	-0.282
Q2KHR5	0.439	0.058	NA	-0.166	0.233	0.166	NA	0.029	0.15	0.332	NA	-0.1
B4DRK9	0.056	-0.218	NA	0.674	-0.249	-0.209	NA	0.834	-0.467	0.497	NA	0.813
O94812	0.056	-0.218	NA	0.65	-0.249	-0.209	NA	0.239	-0.467	0.497	NA	0.468
Q9ULP0-3	NA	-0.323	NA	-0.421	NA	-0.287	NA	-0.429	NA	-0.024	NA	-0.6
Q5JQC9	-0.719	-0.117	NA	0.238	0.14	-0.08	NA	0.123	0.361	-0.031	NA	0.1
P16519	0.541	-0.196	NA	-0.043	-0.434	-0.31	NA	-0.019	-0.284	-0.109	NA	-0.053
Q9Y5H5	NA	0.04	NA	0.416	NA	0.157	NA	-0.038	NA	0.063	NA	0.281
O43245	2.284	-0.646	NA	0.442	4.591	0.079	NA	1.037	5.162	1.513	NA	2.317
Q6FHI5	0.466	-0.731	NA	-0.908	0.329	-0.415	NA	-0.706	0.506	0.644	NA	-0.562
O43704	0.333	0.1	NA	0.268	-0.093	0.123	NA	0.486	0.052	0.075	NA	0.346
Q96CT2	0.353	-0.189	NA	-0.369	-0.249	-0.203	NA	-0.841	-0.133	-0.13	NA	-0.672
Q9BZG2	0.045	-0.128	NA	1.062	-0.193	-0.245	NA	0.108	-0.172	0.123	NA	-0.096
Q14191	0.197	-0.135	NA	0.253	0.23	0.044	NA	0.198	0.118	0.12	NA	0.103
A7E2Y5	-0.091	-0.34	NA	0.133	-0.215	-0.248	NA	-0.259	-0.428	-0.266	NA	-0.405
Q9Y5S2	0.124	-0.464	NA	-0.518	-0.154	-0.456	NA	-0.457	0.016	-0.177	NA	-0.338
A8KA30	-0.124	0.39	NA	-0.118	0.062	0.95	NA	-0.318	-0.395	1.342	NA	-0.504
Q58F21-2	-0.124	0.185	NA	NA	-0.173	0.034	NA	NA	-0.372	-0.075	NA	NA
Q13526	0.216	-0.412	NA	-0.126	-0.144	-0.307	NA	-0.623	0.08	-0.355	NA	-0.11
O00418	-0.031	-0.03	NA	-0.121	-0.08	-0.141	NA	-0.225	-0.159	0.169	NA	-0.157
P27544	0.637	-0.256	NA	-0.032	0.597	-0.381	NA	0.53	0.295	0.175	NA	0.166
Q68D03	-0.332	0.063	NA	NA	2.877	0.111	NA	NA	-0.163	0.044	NA	NA
Q9BZK3	0.547	-0.16	NA	NA	1.561	0.335	NA	NA	1.997	-0.165	NA	NA
O76070	0.011	-0.226	NA	NA	-0.486	0.105	NA	NA	-0.17	0.314	NA	NA
B8ZX62	0.05	0.043	NA	NA	0.189	0.105	NA	NA	0.006	0.128	NA	NA
Q02108	0.242	-0.07	NA	NA	-0.093	-0.078	NA	NA	0.192	0.014	NA	NA
Q9Y235	0.413	0.171	NA	NA	0.644	0.303	NA	NA	1.055	0.488	NA	NA
Q9UHX1	-0.143	-0.014	NA	NA	0.01	-0.073	NA	NA	-0.057	-0.012	NA	NA
Q6DT37	-0.257	0.048	NA	NA	-0.419	0.189	NA	NA	-0.459	0.041	NA	NA
P18124	-0.169	-0.032	NA	NA	-0.548	-0.041	NA	NA	-0.016	-0.038	NA	NA
P35659	-0.19	0.669	NA	NA	0.101	0.269	NA	NA	-0.199	0.174	NA	NA
Q86UE4	0.267	-0.138	NA	NA	-0.063	-0.036	NA	NA	0.075	0.288	NA	NA
A8MXP9	0.28	-0.32	NA	NA	0.366	-0.043	NA	NA	0.658	-0.135	NA	NA
O75795	0.332	0.211	NA	NA	0.672	0.227	NA	NA	0.996	-0.036	NA	NA
Q92540-4	0.436	0.469	NA	NA	0.5	-0.112	NA	NA	0.574	-0.805	NA	NA
Q8TD23	0.117	-0.331	NA	NA	1.383	-0.288	NA	NA	1.811	-0.133	NA	NA
A5PLK6	-0.092	0.833	NA	NA	0.015	0.308	NA	NA	-0.323	0.554	NA	NA
Q6XPS3	-0.133	-0.35	NA	NA	2.545	-0.353	NA	NA	0.942	-0.052	NA	NA
Q504Z1	NA	0.738	NA	NA	NA	0.023	NA	NA	NA	0.946	NA	NA
B7Z9Z0	-0.002	-0.303	NA	NA	-0.561	-0.381	NA	NA	-0.278	-0.128	NA	NA
A1KZ92	-0.058	-0.011	NA	NA	0.522	-0.029	NA	NA	0.434	-0.092	NA	NA
Q4AE62	0.727	-0.053	NA	NA	0.341	-0.15	NA	NA	0.245	0.287	NA	NA
Q6R2W3	-0.52	0.956	NA	NA	-0.252	-0.271	NA	NA	-0.657	1.426	NA	NA
Q7RTR2-3	NA	-0.193	NA	NA	NA	-0.113	NA	NA	NA	-0.006	NA	NA
Q14929	0.694	-0.117	NA	NA	0.098	-0.062	NA	NA	0.07	-0.12	NA	NA
O95749	-0.291	-0.413	NA	NA	-0.208	-0.249	NA	NA	-1.188	-0.172	NA	NA
Q8IWY9	-0.365	0.171	NA	NA	0.011	-0.143	NA	NA	0.178	-0.168	NA	NA
Q9NYA4	-0.201	-0.128	NA	NA	-0.242	-0.231	NA	NA	-0.468	-0.155	NA	NA
Q8WY54	0.272	-0.084	NA	NA	-0.251	-0.03	NA	NA	1.073	-0.419	NA	NA
Q7Z323	-0.497	0.005	NA	NA	-0.055	0.08	NA	NA	-0.2	0.481	NA	NA
Q86W92-3	-0.105	-0.058	NA	NA	-0.441	0.119	NA	NA	-0.179	-0.061	NA	NA
C9J837	-0.076	0.433	NA	NA	-0.409	0.218	NA	NA	1.875	0.439	NA	NA
Q96RL8	-0.043	0.043	NA	NA	-0.103	-0.214	NA	NA	0.054	0.081	NA	NA
B4DN85	-0.146	-0.225	NA	NA	0.117	-0.337	NA	NA	-1.317	-0.259	NA	NA
Q3MIX3	0.414	-0.238	NA	NA	0.355	-0.093	NA	NA	0.15	0.107	NA	NA
O00750	0.302	0.181	NA	NA	-0.29	-0.237	NA	NA	-0.118	0.192	NA	NA
Q96L96	1.102	0.211	NA	NA	0.341	0.208	NA	NA	0.552	0.056	NA	NA
Q9Y4X1-2	0.269	0.094	NA	NA	-0.477	0.158	NA	NA	-0.219	0.037	NA	NA
Q9BZ23	NA	0.027	NA	NA	NA	0.185	NA	NA	NA	-0.045	NA	NA
Q14CA3	0.405	-0.048	NA	NA	-0.157	-0.282	NA	NA	-0.413	0.316	NA	NA
Q8WWB7	-0.106	0.1	NA	NA	-0.065	0.079	NA	NA	-0.35	-0.076	NA	NA
Q32P44-2	-0.504	0.343	NA	NA	0.487	0.272	NA	NA	0.403	0.685	NA	NA
Q99460	-0.116	-0.061	NA	NA	0.235	0.017	NA	NA	0.565	-0.019	NA	NA
O75364	NA	-0.124	NA	NA	NA	-0.161	NA	NA	NA	-0.097	NA	NA
Q9H816	-0.432	-0.363	NA	NA	0.208	-0.347	NA	NA	-0.16	-0.157	NA	NA
P58215	-0.022	-0.127	0.187	0.087	-0.27	-0.202	0.062	-0.229	-0.099	-0.525	0.39	-0.236
Q5VYL6	-0.156	0.257	-1.341	-0.93	0.019	0.126	-0.96	-1.408	-0.304	-0.562	-0.298	-0.976
A2RRP1	NA	-0.044	-0.271	-1.295	NA	-0.027	-0.313	-1.563	NA	-0.059	0.098	-1.531
P26718	0.079	-0.018	0.28	0.176	-0.056	0.086	0.288	0.108	-0.249	0.125	0.229	-0.06
Q7Z5L0	-0.029	0.017	-0.013	0.053	-0.173	-0.01	0.078	-0.173	-0.133	0.17	-0.044	-0.06
P01603	0.308	-0.586	-1.458	-0.757	0.573	-0.618	-1.4	-0.86	0.488	-0.585	-0.716	-0.811
Q9BW30	0.08	0.216	0.032	-0.314	-0.053	-0.008	0.114	-0.307	-0.244	-0.135	0.042	-0.091
B2R548	-0.169	0.193	0.256	NA	0.25	0.127	0.85	NA	0.331	0.194	0.692	NA
O95759	0.278	0.081	0.37	NA	0.212	0.322	0.244	NA	0.216	-0.018	0.083	NA
Q86X27	0.009	-0.319	0.042	-0.079	-0.299	-0.153	0.384	0.129	-0.332	-0.198	0.475	0.052
Q9BX84	0.036	0.33	-0.013	-0.377	-0.093	0.146	-0.134	0.023	-0.082	-0.056	-0.106	-0.208
P78357	-0.204	0.076	0.007	-0.012	-0.594	-0.15	0.172	-0.048	0.148	0.342	0.471	-0.23
O00443	NA	0.244	-0.002	-0.116	NA	0.11	-0.12	-0.098	NA	0.263	-0.061	-0.029
A8MPV3	1.331	0.353	-0.056	1.904	0.225	-0.197	0.074	0.125	1.438	0.111	0.101	1.151
P01605	0.423	-0.428	-1.711	-1.291	0.003	-0.316	-1.927	-1.662	-0.183	-0.459	-0.875	-1.705
P01742	0.11	-0.21	-1.413	0.146	-0.016	-0.188	-1.651	-0.224	0.06	-0.21	-0.838	-0.315
P01761	0.11	-0.21	-1.419	0.146	-0.016	-0.188	-1.53	-0.224	0.06	-0.21	-0.617	-0.315
P01719	-0.607	-1.184	-1.214	-1.904	-0.183	-0.752	-1.416	-2.442	-0.02	-0.665	-0.448	-2.359
Q96RU2	0.329	-0.899	0.118	NA	0.113	-0.585	-0.21	NA	-0.236	-0.601	0.106	NA
P55010	-0.017	-0.056	-0.026	0.013	-0.159	-0.108	-0.261	0.172	-0.216	-0.287	-0.148	-0.144
Q68CS5	-0.031	0.329	0.004	-0.73	-0.029	0.442	0.272	0.051	-0.215	0.659	0.051	0.001
Q3MIT2	-2.189	0.687	-0.103	0.251	-0.055	-0.004	0.121	-0.023	-0.517	0.825	-0.118	-0.13
Q9NRN7	0.7	-0.317	0.191	-0.091	0.296	-0.115	-0.087	-0.002	-0.682	0.337	-0.035	-0.182
P14616	0.122	0.014	-0.067	0.016	0.39	0.129	-0.082	-0.113	-0.085	0.248	-0.111	-0.088
Q86XL3	0.104	0.682	-0.793	0.802	1.183	0.963	-0.017	1.049	0.803	0.079	-0.02	0.341
Q5H9U9	0.569	-0.163	0.03	-0.243	0.089	-0.294	0.132	-0.778	0.361	0.17	-0.107	-0.372
Q2HLG7	0.357	0.332	0.392	0.126	-0.141	0.033	0.245	0.234	-0.027	0.481	0.254	0.495
Q8IVN8	0.28	0	0.127	NA	0.228	0.117	0.005	NA	0.062	-0.031	0.16	NA
P54136	NA	0.05	-0.213	NA	NA	-0.071	0.087	NA	NA	-0.109	-0.124	NA
Q13464	0.257	-0.383	0.028	NA	0.024	-0.297	-0.026	NA	-0.133	0.073	0.061	NA
Q17RG1	0.242	-0.47	0.373	NA	-0.01	-0.362	0.024	NA	-0.204	-0.39	-0.515	NA
Q1HAZ0	-0.023	NA	0.109	NA	-0.127	NA	0.228	NA	-0.12	NA	0.434	NA
Q8IWB6	0.222	-0.192	-0.024	NA	0.345	0	0.24	NA	-0.317	0.246	0.094	NA
Q14146	0.322	0.088	0.048	NA	0.228	0.208	-0.138	NA	0.055	-0.167	-0.138	NA
O75145	0.225	-0.037	0.029	NA	0.39	0.02	-0.082	NA	0.155	0.135	0.068	NA
Q5T011	-0.18	NA	0.19	NA	-0.004	NA	-0.222	NA	-0.543	NA	0.055	NA
Q7Z2Y5	-0.667	-0.115	-0.246	NA	0.028	-0.2	-0.28	NA	0.331	-0.25	-0.22	NA
Q6P3W7	0.132	0.036	-0.123	NA	-0.052	0.152	-0.087	NA	-0.136	0.087	-0.155	NA
Q9C093	-0.323	0.443	-0.366	-0.103	-0.529	0.671	-0.086	0.135	-0.265	-0.255	-0.118	-0.052
Q6ZVL6	0.353	-0.234	0.041	0.293	0.091	-0.132	0.068	-0.27	0.016	-0.249	-0.181	-0.306
Q9HD67	0.234	0.047	0.021	0	0.171	0.085	-0.08	-0.116	0.171	0.178	0.018	-0.079
A1L4B6	1.466	-1.08	-0.226	0.431	0.856	-0.886	-0.779	-0.171	1.304	-1.234	-1.192	0.206
Q506Q0	1.287	1.162	-1.441	0.093	1.158	1.227	-0.751	0.13	1.446	0.827	0.432	0.204
Q4G0P3	0.184	-0.139	-0.129	-1.215	0.159	-0.214	-0.548	-0.323	0.093	-0.239	-0.492	-0.538
Q14674	0.035	-0.074	-0.922	-0.227	0.051	-0.122	-0.463	-0.508	0.428	0.157	0.053	0.465
Q9NWD8	-0.254	NA	0.053	-0.127	-0.071	NA	-0.218	0.223	-0.185	NA	0.093	-0.091
O14960	NA	-0.168	0.163	0.013	NA	0.044	0.128	0.223	NA	-0.195	0.037	0.224
